lat,long,max_temp,humidity,clouds,wind,country,date
23.9167,87.5333,30.214999999999996,58,40,4.12,IN,1620448239
-5.041,18.8162,29.360000000000003,98,79,0.2,CD,1620448239
28.5004,-13.8627,29.214999999999996,72,20,4.63,ES,1620448239
30.9866,103.9393,30.014999999999997,57,40,3.0,CN,1620448240
-7.9386,110.2506,30.284,63,93,5.81,ID,1620448240
-51.6226,-69.2181,27.415,86,0,3.09,AR,1620447962
23.1167,83.2,30.802999999999997,25,48,4.82,IN,1620448240
-0.1833,-50.05,29.741000000000003,93,15,2.19,BR,1620448241
-20.1833,25.2333,28.858999999999998,52,0,3.97,BW,1620448241
42.9019,133.9064,28.511000000000003,63,78,4.11,RU,1620448241
20.7833,80.7167,30.906,34,41,3.87,IN,1620448242
-13.7,-76.2167,29.214999999999996,88,75,3.6,PE,1620448242
9.4389,-64.4728,29.631,86,95,4.31,VE,1620448243
38.421,-121.4238,29.514999999999997,40,1,3.6,US,1620448243
43.2128,-75.4557,28.014999999999997,81,90,3.09,US,1620448138
20.15,92.9,30.472,57,34,2.14,MM,1620447964
5.4802,-53.2011,29.82,90,98,5.1,GF,1620448243
-10.4,40.3333,29.444,78,49,5.42,TZ,1620448244
27.8778,-97.2117,29.714999999999996,83,40,5.66,US,1620448244
65.7,82.4667,27.419999999999998,99,96,3.8,RU,1620448244
39.8161,109.9776,29.339999999999996,15,87,3.29,CN,1620448244
-8.0089,-34.8553,29.814999999999998,78,20,3.6,BR,1620448245
48.2198,46.8311,29.054000000000002,61,9,3.6,RU,1620448245
42.5357,-113.7928,28.415,37,1,5.66,US,1620448245
43.9667,7.7833,28.537,81,84,0.89,IT,1620448246
54.4586,64.8542,29.119,31,89,2.35,RU,1620448246
-2.9248,-39.9167,29.732999999999997,90,6,3.19,BR,1620448080
59.7,150.1667,27.82,58,31,1.82,RU,1620448247
50.0163,-125.2446,28.204,81,75,3.6,CA,1620448200
9.4942,50.8122,30.213,71,97,0.59,SO,1620448247
27.9117,-15.5407,29.258999999999997,72,20,5.66,ES,1620448248
46.2286,-73.0192,28.415,58,100,4.63,CA,1620448248
33.7,-117.7675,29.037,72,75,2.06,US,1620447699
2.6708,72.8944,30.241000000000003,71,28,2.63,MV,1620448248
38.8876,-76.5119,28.314999999999998,93,84,0.89,US,1620448249
-34.4833,-54.3333,28.117,86,2,0.9,UY,1620448249
-6.9811,-34.8339,29.615,100,20,2.06,BR,1620448249
53.6039,91.3903,29.115,29,0,8.0,RU,1620448250
34.0164,44.1453,30.256,25,0,3.77,IQ,1620448250
63.9242,127.4739,28.067,66,90,3.27,RU,1620448251
-8.4667,140.3333,30.057,79,45,6.94,ID,1620448251
27.8964,102.2634,29.899,38,14,1.39,CN,1620448251
14.35,121.0167,30.814999999999998,55,40,2.06,PH,1620448252
-17.7125,-39.2481,29.563,92,8,0.74,BR,1620448252
-32.7167,152.15,29.871,57,66,6.17,AU,1620448252
11.2833,-15.8333,29.793,72,11,5.16,GW,1620448253
-10.9089,-37.0386,29.915,78,40,2.57,BR,1620448253
51.8418,35.2941,28.214999999999996,81,90,9.0,RU,1620448253
4.1363,96.1285,30.288,66,98,1.47,ID,1620448254
59.3388,52.2447,28.4,58,91,2.23,RU,1620448254
40.4163,-120.653,28.615,22,1,2.06,US,1620448045
60.3964,-1.353,27.514999999999997,80,67,1.03,GB,1620448254
63.7506,-68.5145,27.214999999999996,93,90,5.14,CA,1620448255
54.5189,18.5319,27.758999999999997,87,20,2.57,PL,1620448255
33.7445,-118.387,28.871,83,27,3.21,US,1620448255
54.1502,-113.8688,27.915,93,100,6.69,CA,1620448256
37.1717,119.9214,29.226999999999997,29,44,8.38,CN,1620448256
24.7553,71.7722,31.107,24,31,1.54,IN,1620448256
60.2622,37.9763,28.006,77,92,4.82,RU,1620448257
60.4128,44.2397,28.282,60,23,3.05,RU,1620448257
66.0449,-17.3389,27.214999999999996,80,90,2.06,IS,1620448257
17.3333,42.6667,30.314999999999998,74,40,2.06,SA,1620448258
52.5178,99.825,27.806,96,100,1.14,RU,1620448258
44.1671,45.8698,29.115,55,10,3.61,RU,1620448258
31.953,12.0261,28.549,76,0,2.22,LY,1620448259
7.9178,98.3332,30.314999999999998,79,20,2.06,TH,1620448259
35.7698,-91.641,29.014999999999997,55,90,2.06,US,1620448259
60.6785,11.8331,27.214999999999996,86,0,1.54,NO,1620448260
60.7167,-46.0333,27.415,80,75,0.51,GL,1620448149
14.2,24.6667,29.77,45,83,3.88,SD,1620448260
60.9167,-46.05,27.415,80,75,0.51,GL,1620448260
54.3663,71.7632,29.174,29,3,2.63,RU,1620448261
39.05,-27.9833,28.898000000000003,69,72,9.31,PT,1620448261
